"","df","category","group","variable","vtype","n","nc","prop_coherent"
"142","cases","Lab","creat","min <= mean","coherence",2848,2848,0.987710674157303
"143","cases","Lab","creat","mean <= max","coherence",2848,2848,0.970505617977528
"144","cases","Lab","creat","mindiff <= maxdiff","coherence",2848,2848,0.990870786516854
"145","EAC","Lab","creat","min <= mean","coherence",2076,2076,0.988439306358382
"146","EAC","Lab","creat","mean <= max","coherence",2076,2076,0.96868978805395
"147","EAC","Lab","creat","mindiff <= maxdiff","coherence",2076,2076,0.991329479768786
"148","EGJAC","Lab","creat","min <= mean","coherence",772,772,0.985751295336788
"149","EGJAC","Lab","creat","mean <= max","coherence",772,772,0.975388601036269
"150","EGJAC","Lab","creat","mindiff <= maxdiff","coherence",772,772,0.989637305699482
"151","all","Lab","crp","min <= mean","coherence",2567069,2567069,0.630599333325283
"152","all","Lab","crp","mean <= max","coherence",2567069,2567069,0.631148597875632
"153","all","Lab","crp","mindiff <= maxdiff","coherence",2567069,2567069,0.485628161923189
"154","control","Lab","crp","min <= mean","coherence",2564221,2564221,0.630562264329011
"155","control","Lab","crp","mean <= max","coherence",2564221,2564221,0.631114478822223
"156","control","Lab","crp","mindiff <= maxdiff","coherence",2564221,2564221,0.485584120869457
"157","cases","Lab","crp","min <= mean","coherence",2848,2848,0.663974719101124
"158","cases","Lab","crp","mean <= max","coherence",2848,2848,0.66186797752809
"159","cases","Lab","crp","mindiff <= maxdiff","coherence",2848,2848,0.525280898876405
"160","EAC","Lab","crp","min <= mean","coherence",2076,2076,0.657032755298651
"161","EAC","Lab","crp","mean <= max","coherence",2076,2076,0.658477842003854
"162","EAC","Lab","crp","mindiff <= maxdiff","coherence",2076,2076,0.526011560693642
"163","EGJAC","Lab","crp","min <= mean","coherence",772,772,0.682642487046632
"164","EGJAC","Lab","crp","mean <= max","coherence",772,772,0.670984455958549
"165","EGJAC","Lab","crp","mindiff <= maxdiff","coherence",772,772,0.523316062176166
"166","all","Lab","eos","min <= mean","coherence",2567069,2567069,0.910015663778418
"167","all","Lab","eos","mean <= max","coherence",2567069,2567069,0.894690793274353
"168","all","Lab","eos","mindiff <= maxdiff","coherence",2567069,2567069,0.932897012117711
"169","control","Lab","eos","min <= mean","coherence",2564221,2564221,0.90999293742622
"170","control","Lab","eos","mean <= max","coherence",2564221,2564221,0.894662745527784
"171","control","Lab","eos","mindiff <= maxdiff","coherence",2564221,2564221,0.932877860371629
"172","cases","Lab","eos","min <= mean","coherence",2848,2848,0.930477528089888
"173","cases","Lab","eos","mean <= max","coherence",2848,2848,0.919943820224719
"174","cases","Lab","eos","mindiff <= maxdiff","coherence",2848,2848,0.950140449438202
"175","EAC","Lab","eos","min <= mean","coherence",2076,2076,0.929190751445087
"176","EAC","Lab","eos","mean <= max","coherence",2076,2076,0.914739884393064
"177","EAC","Lab","eos","mindiff <= maxdiff","coherence",2076,2076,0.94990366088632
"178","EGJAC","Lab","eos","min <= mean","coherence",772,772,0.933937823834197
"179","EGJAC","Lab","eos","mean <= max","coherence",772,772,0.933937823834197
"180","EGJAC","Lab","eos","mindiff <= maxdiff","coherence",772,772,0.950777202072539
"181","all","Lab","gluc","min <= mean","coherence",2567069,2567069,0.955900678945521
"182","all","Lab","gluc","mean <= max","coherence",2567069,2567069,0.969910820472687
"183","all","Lab","gluc","mindiff <= maxdiff","coherence",2567069,2567069,0.974854980524481
"184","control","Lab","gluc","min <= mean","coherence",2564221,2564221,0.955876268075178
"185","control","Lab","gluc","mean <= max","coherence",2564221,2564221,0.969904310119916
"186","control","Lab","gluc","mindiff <= maxdiff","coherence",2564221,2564221,0.974841092089956
"187","cases","Lab","gluc","min <= mean","coherence",2848,2848,0.977879213483146
"188","cases","Lab","gluc","mean <= max","coherence",2848,2848,0.975772471910112
"189","cases","Lab","gluc","mindiff <= maxdiff","coherence",2848,2848,0.987359550561798
"190","EAC","Lab","gluc","min <= mean","coherence",2076,2076,0.979287090558767
"191","EAC","Lab","gluc","mean <= max","coherence",2076,2076,0.97495183044316
"192","EAC","Lab","gluc","mindiff <= maxdiff","coherence",2076,2076,0.986994219653179
"193","EGJAC","Lab","gluc","min <= mean","coherence",772,772,0.974093264248705
"194","EGJAC","Lab","gluc","mean <= max","coherence",772,772,0.977979274611399
"195","EGJAC","Lab","gluc","mindiff <= maxdiff","coherence",772,772,0.988341968911917
"196","all","Medication","h2r","mean <= max","coherence",2567069,2567069,0.808570396822212
"197","all","Medication","h2r","maxdiff <= max","coherence",2567069,2567069,0.967069837234605
"198","control","Medication","h2r","mean <= max","coherence",2564221,2564221,0.808577341812582
"199","control","Medication","h2r","maxdiff <= max","coherence",2564221,2564221,0.967071870950281
"200","cases","Medication","h2r","mean <= max","coherence",2848,2848,0.802317415730337
"201","cases","Medication","h2r","maxdiff <= max","coherence",2848,2848,0.965238764044944
"202","EAC","Medication","h2r","mean <= max","coherence",2076,2076,0.802504816955684
"203","EAC","Medication","h2r","maxdiff <= max","coherence",2076,2076,0.964354527938343
"204","EGJAC","Medication","h2r","mean <= max","coherence",772,772,0.801813471502591
"205","EGJAC","Medication","h2r","maxdiff <= max","coherence",772,772,0.967616580310881
"206","all","Lab","hct","min <= mean","coherence",2567069,2567069,0.96595767390748
"207","all","Lab","hct","mean <= max","coherence",2567069,2567069,0.957623266067254
"208","all","Lab","hct","mindiff <= maxdiff","coherence",2567069,2567069,0.980827940347533
"209","control","Lab","hct","min <= mean","coherence",2564221,2564221,0.965948332846506
"210","control","Lab","hct","mean <= max","coherence",2564221,2564221,0.957609348024215
"211","control","Lab","hct","mindiff <= maxdiff","coherence",2564221,2564221,0.980823805748412
"212","cases","Lab","hct","min <= mean","coherence",2848,2848,0.97436797752809
"213","cases","Lab","hct","mean <= max","coherence",2848,2848,0.970154494382023
"214","cases","Lab","hct","mindiff <= maxdiff","coherence",2848,2848,0.984550561797753
"215","EAC","Lab","hct","min <= mean","coherence",2076,2076,0.973025048169557
"216","EAC","Lab","hct","mean <= max","coherence",2076,2076,0.966763005780347
"217","EAC","Lab","hct","mindiff <= maxdiff","coherence",2076,2076,0.986030828516378
"218","EGJAC","Lab","hct","min <= mean","coherence",772,772,0.977979274611399
"219","EGJAC","Lab","hct","mean <= max","coherence",772,772,0.979274611398964
"220","EGJAC","Lab","hct","mindiff <= maxdiff","coherence",772,772,0.980569948186529
"221","all","Lab","hdl","min <= mean","coherence",2567069,2567069,0.952582108233164
"222","all","Lab","hdl","mean <= max","coherence",2567069,2567069,0.95182482434247
"223","all","Lab","hdl","mindiff <= maxdiff","coherence",2567069,2567069,0.890916449850004
"224","control","Lab","hdl","min <= mean","coherence",2564221,2564221,0.952561031205969
"225","control","Lab","hdl","mean <= max","coherence",2564221,2564221,0.951809145935549
"226","control","Lab","hdl","mindiff <= maxdiff","coherence",2564221,2564221,0.890869000760855
"227","cases","Lab","hdl","min <= mean","coherence",2848,2848,0.971558988764045
"228","cases","Lab","hdl","mean <= max","coherence",2848,2848,0.965941011235955
"229","cases","Lab","hdl","mindiff <= maxdiff","coherence",2848,2848,0.933637640449438
"230","EAC","Lab","hdl","min <= mean","coherence",2076,2076,0.972543352601156
"231","EAC","Lab","hdl","mean <= max","coherence",2076,2076,0.966281310211946
"232","EAC","Lab","hdl","mindiff <= maxdiff","coherence",2076,2076,0.926782273603083
"233","EGJAC","Lab","hdl","min <= mean","coherence",772,772,0.968911917098446
"234","EGJAC","Lab","hdl","mean <= max","coherence",772,772,0.965025906735751
"235","EGJAC","Lab","hdl","mindiff <= maxdiff","coherence",772,772,0.952072538860104
"236","all","Lab","k","min <= mean","coherence",2567069,2567069,0.990783652484604
"237","all","Lab","k","mean <= max","coherence",2567069,2567069,0.977234737360001
"238","all","Lab","k","mindiff <= maxdiff","coherence",2567069,2567069,0.9863996643643
"239","control","Lab","k","min <= mean","coherence",2564221,2564221,0.990781605797628
"240","control","Lab","k","mean <= max","coherence",2564221,2564221,0.977224272010876
"241","control","Lab","k","mindiff <= maxdiff","coherence",2564221,2564221,0.986391188590999
"242","cases","Lab","k","min <= mean","coherence",2848,2848,0.992626404494382
"243","cases","Lab","k","mean <= max","coherence",2848,2848,0.986657303370786
"244","cases","Lab","k","mindiff <= maxdiff","coherence",2848,2848,0.994030898876405
"245","EAC","Lab","k","min <= mean","coherence",2076,2076,0.991329479768786
"246","EAC","Lab","k","mean <= max","coherence",2076,2076,0.986512524084778
"247","EAC","Lab","k","mindiff <= maxdiff","coherence",2076,2076,0.99373795761079
"248","EGJAC","Lab","k","min <= mean","coherence",772,772,0.996113989637306
"249","EGJAC","Lab","k","mean <= max","coherence",772,772,0.987046632124352
"250","EGJAC","Lab","k","mindiff <= maxdiff","coherence",772,772,0.994818652849741
"251","all","Lab","ldl","min <= mean","coherence",2567069,2567069,0.949369105388285
"252","all","Lab","ldl","mean <= max","coherence",2567069,2567069,0.950441534684109
"253","all","Lab","ldl","mindiff <= maxdiff","coherence",2567069,2567069,0.885543395989746
"254","control","Lab","ldl","min <= mean","coherence",2564221,2564221,0.949352259419137
"255","control","Lab","ldl","mean <= max","coherence",2564221,2564221,0.950418080188876
"256","control","Lab","ldl","mindiff <= maxdiff","coherence",2564221,2564221,0.885502068659449
"257","cases","Lab","ldl","min <= mean","coherence",2848,2848,0.964536516853933
"258","cases","Lab","ldl","mean <= max","coherence",2848,2848,0.971558988764045
"259","cases","Lab","ldl","mindiff <= maxdiff","coherence",2848,2848,0.922752808988764
"260","EAC","Lab","ldl","min <= mean","coherence",2076,2076,0.966281310211946
"261","EAC","Lab","ldl","mean <= max","coherence",2076,2076,0.971098265895954
"262","EAC","Lab","ldl","mindiff <= maxdiff","coherence",2076,2076,0.916184971098266
