"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"305","imputed_cases","Lab","baso","baso_min","continuous",2848,1251,0.560744382022472,1.23479696243006,10.7148424031127,0,0,0,0,100,0.000588129594883819
"306","imputed_cases","Lab","baso","baso_maxdiff","continuous",2848,1530,0.462780898876405,0.00239409389563176,0.079307270361293,-0.9,0,0,0.000108938613209101,1.69491525423729,0.0717770762906795
"307","imputed_cases","Lab","baso","baso_mindiff","continuous",2848,1530,0.462780898876405,-0.00455908368099954,0.0214067085157557,-0.3,-0.000744886677722499,-0.000112052730696799,0,0.000309597523219814,0.0375107974049203
"308","imputed_cases","Lab","baso","baso_tv","continuous",2848,1530,0.462780898876405,0.245113558109378,3.15245408745508,0,0,0,9.37426494597852e-05,66.6666666666667,0.0321619849615438
"309","imputed_cases","Lab","eos","eos_mean","continuous",2848,1187,0.583216292134832,1.11044281659208,8.11142487962386,0,0.1,0.2,0.31,100,0.947353005034855
"310","imputed_cases","Lab","eos","eos_max","continuous",2848,1187,0.583216292134832,1.18423167649537,8.03452377542582,0,0.1,0.2,0.4,100,0.323661948337536
"311","imputed_cases","Lab","eos","eos_min","continuous",2848,1187,0.583216292134832,3.17548525695029,16.8702745558259,0,0,0.1,0.2,100,6.07780658503796e-07
"312","imputed_cases","Lab","eos","eos_maxdiff","continuous",2848,1483,0.479283707865169,0.0843012353505616,2.60407245266301,-0.147492625368732,0,0.000238095238095238,0.00114177077675177,100,0.675381059667435
"313","imputed_cases","Lab","eos","eos_mindiff","continuous",2848,1483,0.479283707865169,-0.0112867688910506,0.125206742685783,-4.507,-0.00152413318420373,-0.000343642611683849,0,0.1,2.76434590641186e-07
"314","imputed_cases","Lab","eos","eos_tv","continuous",2848,1483,0.479283707865169,0.575426643884293,6.64257480867157,0,0,0.000123762376237624,0.00103096029935098,100,0.00228714225472428
"315","imputed_cases","Lab","hct","hct_mean","continuous",2848,735,0.741924157303371,42.655288960036,2.95571103555013,30.7271604938272,40.9,42.8,44.75,49.3333333333333,8.76000467668809e-05
"316","imputed_cases","Lab","hct","hct_max","continuous",2848,735,0.741924157303371,44.4721088435374,2.96418177784615,34.4,42.5,44.7,46.7,50,0.0245286362307483
"317","imputed_cases","Lab","hct","hct_min","continuous",2848,735,0.741924157303371,40.8594013605442,3.60519904188462,26.8,39,41.4,43.2,48.5,1.75026524294375e-14
"318","imputed_cases","Lab","hct","hct_maxdiff","continuous",2848,986,0.653792134831461,0.0801120792624528,0.406446832884626,-0.0338842975206612,0.00220701086622876,0.0074161022559454,0.0193717342009267,5.1,3.71428383992105e-29
"319","imputed_cases","Lab","hct","hct_mindiff","continuous",2848,986,0.653792134831461,-0.0988373747629803,0.462089841759707,-5.3,-0.0231199770378875,-0.00954913880445794,-0.00381229235880398,0.0223880597014925,3.49166631071175e-46
"320","imputed_cases","Lab","hct","hct_tv","continuous",2848,986,0.653792134831461,0.0381888230925977,0.121436046161783,0.000802230802230804,0.00501353657257795,0.00893078147472989,0.017520712486708,1.40691994572592,7.8495122175679e-44
"321","imputed_cases","Lab","lymph","lymph_mean","continuous",2848,1185,0.583918539325843,3.01216332250204,4.68766195591915,0.686,1.53333333333333,1.92,2.41,68.9857142857143,0.0184738678799093
"322","imputed_cases","Lab","lymph","lymph_max","continuous",2848,1185,0.583918539325843,4.42011814345992,7.68427450369861,0.6,1.7,2.2,2.78,68.6,0.000481736610781326
"323","imputed_cases","Lab","lymph","lymph_min","continuous",2848,1185,0.583918539325843,1.97380928270042,3.03819899099227,0,1.2,1.6,2,41.1,0.0852990981755519
"324","imputed_cases","Lab","lymph","lymph_maxdiff","continuous",2848,1466,0.485252808988764,0.0507791238826023,0.514126470064908,-0.8,0.000298507462686567,0.00125287121771025,0.00466219242713808,14.9,7.24633450323684e-14
"325","imputed_cases","Lab","lymph","lymph_mindiff","continuous",2848,1466,0.485252808988764,-0.0503377071612771,0.330265511981262,-9.9,-0.00652173913043478,-0.00158776844070962,-0.000481349869936826,0.0512376237623762,6.00237692251679e-12
"326","imputed_cases","Lab","lymph","lymph_tv","continuous",2848,1466,0.485252808988764,0.0346119769683308,0.274907542885776,0,0.000675608683263141,0.00158959916626583,0.00603289554687167,7.68885300685874,1.97817900269896e-11
"327","imputed_cases","Lab","mch","mch_mean","continuous",2848,719,0.747542134831461,30.775842928318,1.08932146747465,27.2,30.1875,30.85,31.4833333333333,33.7941176470588,0.232180886515623
"328","imputed_cases","Lab","mch","mch_max","continuous",2848,719,0.747542134831461,31.3593324061196,1.30566724825602,27.4,30.6,31.4,32.2,35.6,4.12747987931063e-07
"329","imputed_cases","Lab","mch","mch_min","continuous",2848,719,0.747542134831461,30.1375521557719,1.24378459865325,25.5,29.5,30.2,31,34,0.0204616832543796
"330","imputed_cases","Lab","mch","mch_maxdiff","continuous",2848,958,0.663623595505618,0.0329663172392754,0.286601941712745,-0.0227272727272727,0.00133958492914591,0.00297819544902593,0.00697944912230626,8,1.8210903506116e-17
"331","imputed_cases","Lab","mch","mch_mindiff","continuous",2848,958,0.663623595505618,-0.0196617266104366,0.0903906842260535,-1.9,-0.00792282430213464,-0.00333333333333326,-0.00153376165280927,0.00666666666666629,1.22814703516971e-27
"332","imputed_cases","Lab","mch","mch_tv","continuous",2848,958,0.663623595505618,0.0147773175957155,0.077863930837023,0,0.00178263354024878,0.00312348051931462,0.00628459217262421,2.07509954659982,4.10709903974222e-19
"333","imputed_cases","Lab","mchc","mchc_mean","continuous",2848,785,0.72436797752809,33.8516249578706,0.651825278965569,31.275,33.45,33.9,34.3,35.6,0.00616647213633804
"334","imputed_cases","Lab","mchc","mchc_max","continuous",2848,785,0.72436797752809,34.3989554140127,0.720674591360069,31.8,34,34.4,34.9,36,0.0573508971055434
"335","imputed_cases","Lab","mchc","mchc_min","continuous",2848,785,0.72436797752809,33.2154140127389,0.833715168814599,29.4,32.7,33.3,33.8,35.3,3.86516866165801e-05
"336","imputed_cases","Lab","mchc","mchc_maxdiff","continuous",2848,1031,0.637991573033708,0.0363884619523522,0.178357584747334,-0.185714285714286,0.00111428394065426,0.00303030303030305,0.00771355716107099,2.4,3.57347801725561e-26
"337","imputed_cases","Lab","mchc","mchc_mindiff","continuous",2848,1031,0.637991573033708,-0.038756178752308,0.204180042961371,-3.6,-0.00833333333333328,-0.00357142857142856,-0.00148797992656961,1.6,7.38579279002678e-29
"338","imputed_cases","Lab","mchc","mchc_tv","continuous",2848,1031,0.637991573033708,0.0183279172669556,0.0820865831426494,0,0.00173463860670311,0.00311281816097225,0.00634381216157907,1.99409040185524,4.63678019735352e-24
