"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"73","observed","Lab","ast","ast_min","continuous",2567069,1582445,0.383559616044602,21.7492770453949,11.9547817636275,1,16,20,24,3473,NA
"74","observed_and_imputed","Lab","ast","ast_min","continuous",2567069,2567069,0,21.2544776217936,11.1646088873756,1,16,20,24,3473,0
"75","imputed","Lab","ast","ast_min","continuous",2567069,984624,0.616440383955398,20.4592574424349,9.70889859138114,2,16,19,23,2511,0
"76","observed","Lab","ast","ast_mindiff","continuous",2567069,1275924,0.502964665149242,-2.06275043740762,31.8191084634165,-4289,-0.117647058823529,-0.031390134529148,-0.00892857142857143,116,NA
"77","observed_and_imputed","Lab","ast","ast_mindiff","continuous",2567069,2567069,0,-1.08919558652195,22.4779953377537,-4289,-0.0718954248366013,-0.0246153846153846,-0.00813008130081301,116,1.0220358846645e-262
"78","imputed","Lab","ast","ast_mindiff","continuous",2567069,1291145,0.497035334850758,-0.127117741228468,1.47724604434483,-375,-0.05,-0.0208333333333333,-0.00757575757575758,19,0
"79","observed","Lab","ast","ast_tv","continuous",2567069,1275924,0.502964665149242,0.427936675655942,5.33585347869337,0,0.0113608102011325,0.0255884518949814,0.072289156626506,1284.76470588235,NA
"80","observed_and_imputed","Lab","ast","ast_tv","continuous",2567069,2567069,0,0.255225969750817,3.8277667841245,0,0.0104921340961647,0.0217959502493541,0.0526507489347581,1284.76470588235,2.87358923192967e-289
"81","imputed","Lab","ast","ast_tv","continuous",2567069,1291145,0.497035334850758,0.0845513091036468,0.967772799747791,0,0.00977824209682246,0.0191543720762864,0.0405405405405405,693,0
"82","observed","Lab","baso","baso_max","continuous",2567069,1208457,0.529246389559455,1.00698872429884,8.81783691675034,0,0,0.06,0.1,100,NA
"83","observed_and_imputed","Lab","baso","baso_max","continuous",2567069,2567069,0,1.14711608016769,9.63253404089525,0,0,0.04,0.1,100,8.82729614809527e-42
"84","imputed","Lab","baso","baso_max","continuous",2567069,1358612,0.470753610440545,1.2717564367163,10.3015994776589,0,0,0.02,0.1,100,4.17741207973845e-107
"85","observed","Lab","baso","baso_maxdiff","continuous",2567069,894262,0.651640840195569,0.124954427769447,3.1217839538357,-100,0,6.32911392405063e-05,0.000900900900900901,100,NA
