"","df","category","group","variable","vtype","n","nc","prop_coherent"
"226","observed_controls","Lab","hct","min <= mean","coherence",2564221,1599486,1
"227","observed_controls","Lab","hct","mean <= max","coherence",2564221,1599486,1
"228","observed_controls","Lab","hct","mindiff <= maxdiff","coherence",2564221,1255239,1
"229","observed_controls","Lab","lymph","min <= mean","coherence",2564221,1242090,1
"230","observed_controls","Lab","lymph","mean <= max","coherence",2564221,1242090,1
"231","observed_controls","Lab","lymph","mindiff <= maxdiff","coherence",2564221,924315,1
"232","observed_controls","Lab","mch","min <= mean","coherence",2564221,1602116,1
"233","observed_controls","Lab","mch","mean <= max","coherence",2564221,1602116,1
"234","observed_controls","Lab","mch","mindiff <= maxdiff","coherence",2564221,1262266,1
"235","observed_controls","Lab","mchc","min <= mean","coherence",2564221,1562531,1
"236","observed_controls","Lab","mchc","mean <= max","coherence",2564221,1562531,1
"237","observed_controls","Lab","mchc","mindiff <= maxdiff","coherence",2564221,1224986,1
"238","observed_controls","Lab","mcv","min <= mean","coherence",2564221,1585894,1
"239","observed_controls","Lab","mcv","mean <= max","coherence",2564221,1585894,1
"240","observed_controls","Lab","mcv","mindiff <= maxdiff","coherence",2564221,1240353,1
"241","observed_controls","Lab","mono","min <= mean","coherence",2564221,1188973,1
"242","observed_controls","Lab","mono","mean <= max","coherence",2564221,1188973,1
"243","observed_controls","Lab","mono","mindiff <= maxdiff","coherence",2564221,880028,1
"244","observed_controls","Lab","mpv","min <= mean","coherence",2564221,1295422,1
"245","observed_controls","Lab","mpv","mean <= max","coherence",2564221,1295422,1
"246","observed_controls","Lab","mpv","mindiff <= maxdiff","coherence",2564221,1004071,1
"247","observed_controls","Lab","neut","min <= mean","coherence",2564221,1101031,1
"248","observed_controls","Lab","neut","mean <= max","coherence",2564221,1101031,1
"249","observed_controls","Lab","neut","mindiff <= maxdiff","coherence",2564221,806474,1
"250","observed_controls","Lab","platelet","min <= mean","coherence",2564221,1606168,1
"251","observed_controls","Lab","platelet","mean <= max","coherence",2564221,1606168,1
"252","observed_controls","Lab","platelet","mindiff <= maxdiff","coherence",2564221,1264664,1
"253","observed_controls","Lab","wbc","min <= mean","coherence",2564221,1608177,1
"254","observed_controls","Lab","wbc","mean <= max","coherence",2564221,1608177,1
"255","observed_controls","Lab","wbc","mindiff <= maxdiff","coherence",2564221,1266424,1
"256","observed_controls","Lab","crp","min <= mean","coherence",2564221,118524,1
