"","df","category","group","variable","vtype","n","nc","prop_coherent"
"101","new_cohort_imputed","Lab","a1c","mean <= max","coherence",2402933,2402933,0.761856864090676
"102","new_cohort_imputed","Lab","a1c","mindiff <= maxdiff","coherence",2402933,2402933,0.930455405955971
"103","new_cohort_imputed","Lab","bun","min <= mean","coherence",2402933,2402933,0.857202843358512
"104","new_cohort_imputed","Lab","bun","mean <= max","coherence",2402933,2402933,0.84486916613988
"105","new_cohort_imputed","Lab","bun","mindiff <= maxdiff","coherence",2402933,2402933,0.974229826632703
"106","new_cohort_imputed","Lab","calc","min <= mean","coherence",2402933,2402933,0.858832934584526
"107","new_cohort_imputed","Lab","calc","mean <= max","coherence",2402933,2402933,0.867614286374194
"108","new_cohort_imputed","Lab","calc","mindiff <= maxdiff","coherence",2402933,2402933,0.968923394867855
"109","new_cohort_imputed","Lab","chlor","min <= mean","coherence",2402933,2402933,0.869385871349721
"110","new_cohort_imputed","Lab","chlor","mean <= max","coherence",2402933,2402933,0.875645305133352
"111","new_cohort_imputed","Lab","chlor","mindiff <= maxdiff","coherence",2402933,2402933,0.973936019023418
"112","new_cohort_imputed","Lab","co2","min <= mean","coherence",2402933,2402933,0.870588984378674
"113","new_cohort_imputed","Lab","co2","mean <= max","coherence",2402933,2402933,0.875113038940328
"114","new_cohort_imputed","Lab","co2","mindiff <= maxdiff","coherence",2402933,2402933,0.974477440694351
"115","new_cohort_imputed","Lab","creat","min <= mean","coherence",2402933,2402933,0.841001392881117
"116","new_cohort_imputed","Lab","creat","mean <= max","coherence",2402933,2402933,0.836036210747449
"117","new_cohort_imputed","Lab","creat","mindiff <= maxdiff","coherence",2402933,2402933,0.976005157031012
"118","new_cohort_imputed","Lab","gluc","min <= mean","coherence",2402933,2402933,0.880673327138127
"119","new_cohort_imputed","Lab","gluc","mean <= max","coherence",2402933,2402933,0.841571529460039
"120","new_cohort_imputed","Lab","gluc","mindiff <= maxdiff","coherence",2402933,2402933,0.971104895558886
