"","threshold","N","p","tp","tn","fp","fn","ppv","tpr","det_prev","spec","tr_by_14"
"19",90,2567069,1197081,2418,1369558,1194663,430,0.201991343944144,84.9016853932584,46.632209730241,53.410294978475,6.42857142857143
"20",95,2567069,1147990,2370,1418601,1145620,478,0.206447791357068,83.2162921348315,44.7198731315753,55.3228836360048,6.78571428571429
"21",100,2567069,1099290,2331,1467262,1096959,517,0.21204595693584,81.8469101123596,42.8227679115754,57.2205749816416,7.14285714285714
"22",105,2567069,1051893,2283,1514611,1049610,565,0.217037284210466,80.1615168539326,40.976420968817,59.0671006906191,7.5
"23",110,2567069,1005385,2241,1561077,1003144,607,0.222899685195224,78.686797752809,39.1647049611834,60.8791909901682,7.85714285714286
"24",115,2567069,960036,2189,1606374,957847,659,0.228012282872726,76.8609550561798,37.3981377204898,62.6456923954683,8.21428571428571
"25",120,2567069,916151,2142,1650212,914009,706,0.233804252792389,75.2106741573034,35.6886005011942,64.3552954289041,8.57142857142857
"26",125,2567069,873261,2094,1693054,871167,754,0.239790852906519,73.5252808988764,34.0178234398842,66.0260562564615,8.92857142857143
"27",130,2567069,831975,2047,1734293,829928,801,0.246041046906458,71.875,32.409530090543,67.6343029715458,9.28571428571429
"28",135,2567069,791798,1989,1774412,789809,859,0.251200432433525,69.8384831460674,30.8444377615093,69.198871704116,9.64285714285714
"29",140,2567069,753453,1935,1812703,751518,913,0.256817611715661,67.9424157303371,29.3507108690884,70.6921517295116,10
"30",145,2567069,716600,1882,1849503,714718,966,0.262629081775049,66.0814606741573,27.9151047361797,72.1272854406855,10.3571428571429
"31",150,2567069,681487,1837,1884571,679650,1011,0.269557599778132,64.501404494382,26.5472801860799,73.4948742717574,10.7142857142857
"32",155,2567069,648263,1783,1917741,646480,1065,0.275042691006582,62.6053370786517,25.2530415037539,74.7884445217476,11.0714285714286
"33",160,2567069,616937,1739,1949023,615198,1109,0.28187643146707,61.060393258427,24.0327392835954,76.0083861726427,11.4285714285714
"34",165,2567069,587163,1680,1978738,585483,1168,0.286121571011797,58.9887640449438,22.872895118908,77.1672176462169,11.7857142857143
"35",170,2567069,558963,1630,2006888,557333,1218,0.291611430452463,57.2331460674157,21.7743660182099,78.2650169388676,12.1428571428571
"36",175,2567069,532601,1584,2033204,531017,1264,0.29740837888025,55.6179775280899,20.7474360837204,79.2912935351516,12.5
"37",180,2567069,507472,1534,2058283,505938,1314,0.302282687517735,53.8623595505618,19.7685375811869,80.2693293596769,12.8571428571429
"38",185,2567069,483574,1503,2082150,482071,1345,0.310810754920653,52.7738764044944,18.8375926007443,81.2000993674102,13.2142857142857
"39",190,2567069,461446,1459,2104234,459987,1389,0.316180008061615,51.2289325842697,17.9755978510901,82.0613355869093,13.5714285714286
"40",195,2567069,440295,1419,2125345,438876,1429,0.322283923278711,49.8244382022472,17.1516620706339,82.8846265590992,13.9285714285714
"41",200,2567069,420215,1376,2145382,418839,1472,0.327451423675975,48.314606741573,16.3694470230446,83.6660334659142,14.2857142857143
"42",205,2567069,401547,1332,2164006,400215,1516,0.331717084176946,46.7696629213483,15.6422363403555,84.392335918004,14.6428571428571
"43",210,2567069,383498,1288,2182011,382210,1560,0.335855728061163,45.2247191011236,14.939138760976,85.094498485115,15
